# r                 p(r)             
  6.88907e+01       1.40785e-03      
  6.91262e+01       1.37947e-03      
  6.93617e+01       1.36611e-03      
  6.95973e+01       1.34874e-03      
  6.98328e+01       1.32057e-03      
  7.00683e+01       1.30797e-03      
  7.03038e+01       1.25260e-03      
  7.05394e+01       1.26478e-03      
  7.07749e+01       1.23252e-03      
  7.10104e+01       1.21093e-03      
  7.12459e+01       1.19342e-03      
  7.14814e+01       1.16891e-03      
  7.17170e+01       1.15410e-03      
  7.19525e+01       1.12157e-03      
  7.21880e+01       1.10475e-03      
  7.24235e+01       1.06516e-03      
  7.26591e+01       1.05935e-03      
  7.28946e+01       1.02931e-03      
  7.31301e+01       1.00024e-03      
  7.33656e+01       9.97674e-04      
  7.36012e+01       9.70888e-04      
  7.38367e+01       9.53030e-04      
  7.40722e+01       9.39118e-04      
  7.43077e+01       9.10255e-04      
  7.45433e+01       8.73225e-04      
  7.47788e+01       8.59035e-04      
  7.50143e+01       8.35987e-04      
  7.52498e+01       8.17852e-04      
  7.54853e+01       7.95911e-04      
  7.57209e+01       7.70647e-04      
  7.59564e+01       7.52582e-04      
  7.61919e+01       7.24203e-04      
  7.64274e+01       7.14305e-04      
  7.66630e+01       6.69938e-04      
  7.68985e+01       6.64678e-04      
  7.71340e+01       6.54088e-04      
  7.73695e+01       6.23079e-04      
  7.76051e+01       6.11313e-04      
  7.78406e+01       5.78228e-04      
  7.80761e+01       5.72483e-04      
  7.83116e+01       5.42928e-04      
  7.85471e+01       5.34137e-04      
  7.87827e+01       5.17110e-04      
  7.90182e+01       4.83679e-04      
  7.92537e+01       4.69420e-04      
  7.94892e+01       4.64714e-04      
  7.97248e+01       4.42288e-04      
  7.99603e+01       4.15502e-04      
  8.01958e+01       4.04496e-04      
  8.04313e+01       3.86431e-04      
  8.06669e+01       3.74803e-04      
  8.09024e+01       3.50370e-04      
  8.11379e+01       3.40956e-04      
  8.13734e+01       3.24344e-04      
  8.16090e+01       3.04134e-04      
  8.18445e+01       2.92021e-04      
  8.20800e+01       2.70356e-04      
  8.23155e+01       2.60805e-04      
  8.25511e+01       2.44885e-04      
  8.27866e+01       2.34710e-04      
  8.30221e+01       2.23151e-04      
  8.32576e+01       2.06539e-04      
  8.34931e+01       1.90412e-04      
  8.37287e+01       1.79130e-04      
  8.39642e+01       1.59542e-04      
  8.41997e+01       1.58988e-04      
  8.44352e+01       1.41546e-04      
  8.46708e+01       1.34140e-04      
  8.49063e+01       1.18912e-04      
  8.51418e+01       1.09222e-04      
  8.53773e+01       1.02647e-04      
  8.56129e+01       9.26105e-05      
  8.58484e+01       8.41662e-05      
  8.60839e+01       7.48913e-05      
  8.63194e+01       7.06000e-05      
  8.65550e+01       5.89717e-05      
  8.67905e+01       5.46111e-05      
  8.70260e+01       4.62361e-05      
  8.72615e+01       3.81378e-05      
  8.74971e+01       3.37772e-05      
  8.77326e+01       2.69249e-05      
  8.79681e+01       2.20106e-05      
  8.82036e+01       1.71655e-05      
  8.84391e+01       1.26665e-05      
  8.86747e+01       9.41333e-06      
  8.89102e+01       5.26039e-06      
  8.91457e+01       3.66843e-06      
  8.93812e+01       2.49176e-06      
  8.96168e+01       1.17667e-06      
  8.98523e+01       0.00000e+00      
  9.00878e+01       0.00000e+00      
  9.03233e+01       0.00000e+00      
  9.05589e+01       0.00000e+00      
  9.07944e+01       0.00000e+00      
  9.10299e+01       0.00000e+00      
  9.12654e+01       0.00000e+00      
  9.15010e+01       0.00000e+00      
  9.17365e+01       0.00000e+00      
  9.19720e+01       0.00000e+00      
  9.22075e+01       0.00000e+00      
  9.24431e+01       0.00000e+00      
  9.26786e+01       0.00000e+00      
  9.29141e+01       0.00000e+00      
  9.31496e+01       0.00000e+00      
  9.33851e+01       0.00000e+00      
  9.36207e+01       0.00000e+00      
  9.38562e+01       0.00000e+00      
  9.40917e+01       0.00000e+00      
