# x y z sld
21.176262 -5.203028 -17.643412 -1.000000
8.908661 10.757960 2.515661 -1.000000
-13.966162 8.801610 18.276108 -1.000000
-0.252033 -0.388171 -23.840706 -1.000000
-8.270340 -24.465806 -7.965653 -1.000000
6.677004 -20.034511 -7.889435 -1.000000
12.955323 -10.770345 18.089259 -1.000000
-1.717852 7.719956 -15.183782 -1.000000
0.374970 -26.591046 6.224838 -1.000000
13.976318 -15.254672 -17.380192 -1.000000
7.995228 -23.351914 16.952966 -1.000000
17.679276 -16.567530 9.629275 -1.000000
-16.258660 -19.208867 -8.646186 -1.000000
-3.575797 -15.164742 -8.863220 -1.000000
13.008916 -10.101860 17.499377 -1.000000
-6.283772 6.050149 21.931609 -1.000000
7.473819 27.242687 -8.765500 -1.000000
-4.473913 2.615080 -19.920093 -1.000000
6.324262 -5.327480 -4.012945 -1.000000
2.103572 -14.535689 24.025974 -1.000000
11.834364 -8.542298 -5.984653 -1.000000
14.076082 -5.392940 23.461466 -1.000000
-6.208453 -0.073788 -17.222843 -1.000000
-13.573184 -7.764166 -6.085757 -1.000000
4.742603 -1.652006 21.396826 -1.000000
1.341654 -27.479855 -9.426037 -1.000000
-1.689266 23.194113 5.626551 -1.000000
19.808567 -1.716469 12.727305 -1.000000
-13.536760 -3.816515 19.098444 -1.000000
-8.197163 -0.107836 15.425181 -1.000000
-0.201111 9.759703 -23.538263 -1.000000
13.024965 1.422602 -5.191188 -1.000000
-4.187538 4.235183 1.221702 -1.000000
-0.911062 15.443770 -11.730347 -1.000000
-7.602740 -10.650052 -19.251026 -1.000000
-1.156863 -23.473127 -2.891850 -1.000000
7.263026 -3.331340 16.290196 -1.000000
4.380544 -12.834889 -8.898331 -1.000000
1.451266 5.448070 15.085740 -1.000000
-7.737533 -8.965581 -1.862220 -1.000000
27.165362 7.094668 1.114882 -1.000000
9.204887 -25.396300 -4.175969 -1.000000
0.297494 20.785225 12.230057 -1.000000
3.993698 -9.419774 -0.787710 -1.000000
-9.076248 19.337332 -19.075579 -1.000000
6.346301 5.596604 26.682565 -1.000000
1.731064 -8.485519 -5.315004 -1.000000
18.481764 -8.598077 -18.205827 -1.000000
-3.383284 3.035007 6.599463 -1.000000
-8.614541 -8.023639 27.361227 -1.000000
-25.219175 6.276833 -0.552677 -1.000000
-8.999084 -12.128567 11.762272 -1.000000
15.242571 -12.731810 13.547228 -1.000000
